"","Budget","Year","Type"
"19635",50,2004,"Animation"
"22888",10,2002,"Animation"
"23542",110,2004,"Animation"
"24720",60,2002,"Animation"
"252501",92,2004,"Animation"
"26340",0.06,2004,"Animation"
"26741",15,2002,"Animation"
"26995",20,2003,"Animation"
"274831",0.005,2004,"Animation"
"29984",80,2002,"Animation"
"306271",80,2003,"Animation"
"31600",20,2005,"Animation"
"33153",0.6,2002,"Animation"
"40565",0.003,2003,"Animation"
"40603",150,2004,"Animation"
"40689",20,2005,"Animation"
"410021",10,2002,"Animation"
"43091",20,2002,"Animation"
"43654",75,2005,"Animation"
"44125",25,2003,"Animation"
"462471",75,2004,"Animation"
"46649",75,2004,"Animation"
"47000",60,2003,"Animation"
"48582",80,2002,"Animation"
"48624",30,2004,"Animation"
"490491",20,2004,"Animation"
"50455",0.1,2004,"Animation"
"50990",10,2004,"Animation"
"53152",140,2002,"Animation"
"53325",8,2003,"Animation"
"55011",0.002,2003,"Animation"
"57115",35,2002,"Animation"
"124",1.1,2002,"Comedy"
"154",6,2003,"Comedy"
"173",37,2004,"Comedy"
"432",17,2002,"Comedy"
"472",75,2004,"Comedy"
"541",0.01,2003,"Comedy"
"762",30,2002,"Comedy"
"763",27,2002,"Comedy"
"966",19,2002,"Comedy"
"10916",100,2002,"Comedy"
"12352",58,2004,"Comedy"
"1248",0.005,2003,"Comedy"
"12812",26,2003,"Comedy"
"12822",26,2004,"Comedy"
"1577",60,2004,"Comedy"
"17075",14,2002,"Comedy"
"1792",0.012,2005,"Comedy"
"1911",42,2004,"Comedy"
"2154",0.002,2002,"Comedy"
"2208",55,2003,"Comedy"
"2414",0.017,2003,"Comedy"
"2429",26,2004,"Comedy"
"2593",75,2003,"Comedy"
"2818",0.8,2002,"Comedy"
"2842",0.005,2003,"Comedy"
"2861",18,2003,"Comedy"
"3064",32,2005,"Comedy"
"31621",110,2004,"Comedy"
"3173",3.2,2004,"Comedy"
"3283",2.5,2002,"Comedy"
"3291",0.004999,2005,"Comedy"
"3379",0.5,2003,"Comedy"
"3520",0.006,2004,"Comedy"
"36131",63,2002,"Comedy"
"40286",130,2003,"Comedy"
"40354",70,2002,"Comedy"
"4077",18,2003,"Comedy"
"4316",10,2002,"Comedy"
"4330",0.001,2003,"Comedy"
"4349",0.5,2004,"Comedy"
"4396",12,2002,"Comedy"
"4397",18,2004,"Comedy"
"4606",1,2003,"Comedy"
"4646",53,2005,"Comedy"
"4648",0.004,2004,"Comedy"
"4727",0.005,2004,"Comedy"
"4746",0.7,2003,"Comedy"
"4813",14,2005,"Comedy"
"4868",0.005,2004,"Comedy"
"4954",18,2004,"Comedy"
"5074",1.5,2004,"Comedy"
"5276",0.3,2002,"Comedy"
"5372",3,2003,"Comedy"
"5488",50,2004,"Comedy"
"5532",15,2002,"Comedy"
"5535",70,2003,"Comedy"
"5639",40,2002,"Comedy"
"5657",0.75,2005,"Comedy"
"5808",0.002,2003,"Comedy"
"6050",0.05,2004,"Comedy"
"63361",0.035,2002,"Comedy"
"6580",20,2002,"Comedy"
"6768",20,2003,"Comedy"
"7104",4,2002,"Comedy"
"7163",0.05,2004,"Comedy"
"7392",7,2004,"Comedy"
"7437",70,2004,"Comedy"
"7490",35,2003,"Comedy"
"75031",0.0025,2005,"Comedy"
"7632",8,2002,"Comedy"
"7639",81,2003,"Comedy"
"7691",1,2002,"Comedy"
"78421",52,2003,"Comedy"
"7957",0.005,2003,"Comedy"
"7983",0.01,2003,"Comedy"
"8148",0.95,2004,"Comedy"
"8189",0.002,2003,"Comedy"
"8522",3,2004,"Comedy"
"8707",1,2002,"Comedy"
"9011",109,2003,"Comedy"
"90351",18,2004,"Comedy"
"9331",0.005,2003,"Comedy"
"9347",0.15,2002,"Comedy"
"94751",120,2003,"Comedy"
"9488",0.95,2002,"Comedy"
"9518",0.002,2004,"Comedy"
"9520",23,2004,"Comedy"
"9565",40,2003,"Comedy"
"9643",1.5,2002,"Comedy"
"9694",45,2002,"Comedy"
"9762",0.007,2004,"Comedy"
"10002",60,2004,"Comedy"
"10075",5,2002,"Comedy"
"10131",20,2004,"Comedy"
"10135",0.1,2002,"Comedy"
"10337",0.114,2003,"Comedy"
"10456",9,2004,"Comedy"
"10767",0.5,2005,"Comedy"
"10976",15,2004,"Comedy"
"11011",0.5,2003,"Comedy"
"11091",0.005,2004,"Comedy"
"11218",0.1,2003,"Comedy"
"112291",4.7,2003,"Comedy"
"11347",35,2002,"Comedy"
"11447",2,2003,"Comedy"
"11497",0.04,2002,"Comedy"
"11536",0.002,2004,"Comedy"
"11617",10,2003,"Comedy"
"11706",13,2002,"Comedy"
"11729",0.04,2004,"Comedy"
"11765",12,2002,"Comedy"
"11912",0.001,2002,"Comedy"
"11994",0.012,2003,"Comedy"
"120721",3.5,2004,"Comedy"
"12124",60,2003,"Comedy"
"12221",27,2004,"Comedy"
"12440",0.007,2005,"Comedy"
"126091",0.05,2004,"Comedy"
"12639",0.01,2004,"Comedy"
"12659",1.5,2004,"Comedy"
"129161",0.15,2003,"Comedy"
"13051",55,2002,"Comedy"
"13117",5,2004,"Comedy"
"13187",0.02,2002,"Comedy"
"13427",0.035,2003,"Comedy"
"13787",5.5,2005,"Comedy"
"13820",17,2003,"Comedy"
"13857",0.005,2004,"Comedy"
"14027",0.002,2003,"Comedy"
"14116",27,2002,"Comedy"
"14130",1.5,2002,"Comedy"
"14260",20,2004,"Comedy"
"14930",0.05,2004,"Comedy"
"15094",20,2002,"Comedy"
"15158",0.02,2005,"Comedy"
"15239",19,2003,"Comedy"
"15267",40,2003,"Comedy"
"15346",3,2003,"Comedy"
"15388",0.01,2004,"Comedy"
"15478",0.05,2004,"Comedy"
"156231",30,2002,"Comedy"
"15704",0.0025,2003,"Comedy"
"15721",0.03,2004,"Comedy"
"15727",33,2003,"Comedy"
"15747",35,2004,"Comedy"
"16158",40,2004,"Comedy"
"16168",0.006,2003,"Comedy"
"16424",20,2004,"Comedy"
"16448",10,2004,"Comedy"
"16454",25,2004,"Comedy"
"16505",0.02,2002,"Comedy"
"16525",0.027,2002,"Comedy"
"16549",0.01,2003,"Comedy"
"16558",0.03,2005,"Comedy"
"16567",0.5,2002,"Comedy"
"165731",0.015,2003,"Comedy"
"16720",0.0035,2004,"Comedy"
"16930",0.1,2003,"Comedy"
"16933",1.8,2004,"Comedy"
"17206",0.001,2003,"Comedy"
"17223",4.5,2003,"Comedy"
"17585",39.69,2005,"Comedy"
"17642",0.0035,2003,"Comedy"
"17743",0.01,2005,"Comedy"
"17817",0.02,2004,"Comedy"
"178431",94,2003,"Comedy"
"17998",0.015,2004,"Comedy"
"18017",0.02,2004,"Comedy"
"18152",0.5,2002,"Comedy"
"18382",0.008,2004,"Comedy"
"18708",0.077,2004,"Comedy"
"188471",3,2004,"Comedy"
"18923",26,2003,"Comedy"
"19035",20,2002,"Comedy"
"19135",12,2003,"Comedy"
"19186",2.4,2005,"Comedy"
"19268",2,2002,"Comedy"
"19395",5,2004,"Comedy"
"19603",6,2002,"Comedy"
"19621",2.5,2004,"Comedy"
"196351",50,2004,"Comedy"
"19736",0.008,2004,"Comedy"
"199001",32,2004,"Comedy"
"20150",54,2003,"Comedy"
"20246",1,2004,"Comedy"
"207541",20,2004,"Comedy"
"20775",18,2003,"Comedy"
"20789",5,2002,"Comedy"
"20937",0.1,2003,"Comedy"
"20960",0.005,2004,"Comedy"
"21192",0.025,2004,"Comedy"
"21303",0.08,2002,"Comedy"
"21346",3.7,2003,"Comedy"
"21635",11,2002,"Comedy"
"21642",0.004,2003,"Comedy"
"21648",20,2003,"Comedy"
"21948",0.3,2005,"Comedy"
"22166",9,2004,"Comedy"
"22178",0.05,2003,"Comedy"
"22266",90,2003,"Comedy"
"225891",1,2005,"Comedy"
"228881",10,2002,"Comedy"
"22948",0.02,2004,"Comedy"
"23072",1,2003,"Comedy"
"23103",0.1,2004,"Comedy"
"23250",70,2005,"Comedy"
"23258",50,2005,"Comedy"
"23371",30,2003,"Comedy"
"23416",16,2002,"Comedy"
"234251",75,2003,"Comedy"
"23434",7,2003,"Comedy"
"235421",110,2004,"Comedy"
"23726",0.0105,2004,"Comedy"
"23843",0.015,2004,"Comedy"
"24102",16,2003,"Comedy"
"24117",0.33,2004,"Comedy"
"24118",50,2003,"Comedy"
"243211",0.03,2003,"Comedy"
"24466",22,2004,"Comedy"
"24527",0.04,2003,"Comedy"
"245471",70,2002,"Comedy"
"24683",15,2002,"Comedy"
"247201",60,2002,"Comedy"
"24840",9,2002,"Comedy"
"24938",10,2004,"Comedy"
"24992",15,2002,"Comedy"
"25076",0.05,2004,"Comedy"
"25153",0.15,2004,"Comedy"
"25219",1.4,2004,"Comedy"
"252502",92,2004,"Comedy"
"25518",5,2003,"Comedy"
"25541",7,2002,"Comedy"
"25583",60,2003,"Comedy"
"25631",5,2003,"Comedy"
"26040",0.044,2004,"Comedy"
"26098",5,2002,"Comedy"
"26173",0.05,2003,"Comedy"
"26393",35,2004,"Comedy"
"26528",0.7,2004,"Comedy"
"26629",0.002,2004,"Comedy"
"266691",35,2003,"Comedy"
"26706",12,2004,"Comedy"
"267411",15,2002,"Comedy"
"26769",1.3,2004,"Comedy"
"27062",0.075,2002,"Comedy"
"27141",15.6,2002,"Comedy"
"27322",60,2003,"Comedy"
"27802",0.02,2004,"Comedy"
"285091",10,2002,"Comedy"
"28609",0.45,2004,"Comedy"
"28790",35,2004,"Comedy"
"291081",3.5,2003,"Comedy"
"29202",0.85,2003,"Comedy"
"29288",28,2004,"Comedy"
"29349",0.03,2002,"Comedy"
"29395",45,2003,"Comedy"
"29421",0.05,2002,"Comedy"
"29489",125,2004,"Comedy"
"29549",0.03,2004,"Comedy"
"29823",25,2004,"Comedy"
"29850",0.001,2004,"Comedy"
"29857",0.75,2003,"Comedy"
"29947",30,2002,"Comedy"
"299841",80,2002,"Comedy"
"30025",0.001,2003,"Comedy"
"30125",35,2004,"Comedy"
"30275",0.01,2003,"Comedy"
"30327",0.1,2003,"Comedy"
"30346",17,2003,"Comedy"
"30355",0.002,2004,"Comedy"
"303791",0.0024,2002,"Comedy"
"30603",0.042,2002,"Comedy"
"306272",80,2003,"Comedy"
"30688",0.006,2004,"Comedy"
"30757",4,2003,"Comedy"
"30769",30,2005,"Comedy"
"30911",1,2003,"Comedy"
"30992",0.075,2005,"Comedy"
"31096",1.2,2004,"Comedy"
"31176",0.001,2003,"Comedy"
"31486",0.001,2004,"Comedy"
"31675",55,2002,"Comedy"
"317851",0.2,2002,"Comedy"
"31834",16,2003,"Comedy"
"31899",0.002,2005,"Comedy"
"320641",40,2005,"Comedy"
"32318",20,2003,"Comedy"
"32491",2,2004,"Comedy"
"32523",3,2002,"Comedy"
"32639",16,2002,"Comedy"
"32655",0.026,2003,"Comedy"
"32853",17,2004,"Comedy"
"32858",0.01,2003,"Comedy"
"328871",41,2003,"Comedy"
"32932",80,2004,"Comedy"
"33037",0.02,2004,"Comedy"
"33059",0.065,2004,"Comedy"
"330781",140,2002,"Comedy"
"330841",0.03,2003,"Comedy"
"33097",7.5,2002,"Comedy"
"33160",30,2004,"Comedy"
"33294",0.019,2003,"Comedy"
"33492",0.25,2003,"Comedy"
"33837",2,2004,"Comedy"
"33970",1,2004,"Comedy"
"33972",0.015,2003,"Comedy"
"34153",65,2003,"Comedy"
"34302",60,2005,"Comedy"
"34461",0.005,2003,"Comedy"
"34686",0.009,2002,"Comedy"
"34690",1,2003,"Comedy"
"34709",30,2004,"Comedy"
"34736",50,2002,"Comedy"
"34850",0.01,2003,"Comedy"
"35002",0.003,2002,"Comedy"
"35197",5,2002,"Comedy"
"35206",0.01226,2002,"Comedy"
"35208",14,2003,"Comedy"
"35668",0.4,2004,"Comedy"
"35962",1.5,2004,"Comedy"
"35981",0.003,2004,"Comedy"
"36009",0.007,2002,"Comedy"
"36011",0.035,2005,"Comedy"
"36076",0.055,2003,"Comedy"
"36077",13,2002,"Comedy"
"36422",0.005,2005,"Comedy"
"36443",0.0015,2003,"Comedy"
"36522",0.065,2003,"Comedy"
"36859",0.015,2003,"Comedy"
"370991",0.25,2005,"Comedy"
"37325",110,2004,"Comedy"
"37478",2,2003,"Comedy"
"37479",0.0035,2004,"Comedy"
"37599",0.015,2004,"Comedy"
"37614",24,2003,"Comedy"
"37889",0.4,2002,"Comedy"
"37921",0.2,2005,"Comedy"
"38155",18,2002,"Comedy"
"38508",0.02,2002,"Comedy"
"38639",2,2002,"Comedy"
"386681",56,2005,"Comedy"
"39604",0.0021,2003,"Comedy"
"40001",0.3,2003,"Comedy"
"402101",125,2003,"Comedy"
"40275",0.01,2004,"Comedy"
"40458",0.006,2004,"Comedy"
"40481",0.03,2003,"Comedy"
"40597",0.009,2004,"Comedy"
"40833",0.015,2003,"Comedy"
"410022",10,2002,"Comedy"
"41276",40,2004,"Comedy"
"41544",0.005,2004,"Comedy"
"41680",25,2002,"Comedy"
"42048",0.5,2003,"Comedy"
"42290",0.8,2002,"Comedy"
"42542",3,2002,"Comedy"
"42551",0.025,2004,"Comedy"
"42620",0.015,2003,"Comedy"
"428331",3,2003,"Comedy"
"42907",0.0035,2004,"Comedy"
"42925",4,2002,"Comedy"
"43142",0.175,2002,"Comedy"
"43243",0.018,2004,"Comedy"
"43397",0.005,2004,"Comedy"
"436541",75,2005,"Comedy"
"43901",6,2003,"Comedy"
"43912",0.15,2004,"Comedy"
"441251",25,2003,"Comedy"
"44133",4,2002,"Comedy"
"441921",85,2003,"Comedy"
"442901",0.004,2002,"Comedy"
"44313",0.003,2004,"Comedy"
"444441",130,2005,"Comedy"
"44747",60,2002,"Comedy"
"44784",0.9,2004,"Comedy"
"44944",5,2004,"Comedy"
"45062",45,2003,"Comedy"
"45161",20,2003,"Comedy"
"45205",84,2002,"Comedy"
"45448",30,2003,"Comedy"
"45599",12,2004,"Comedy"
"45839",29,2002,"Comedy"
"46178",40,2004,"Comedy"
"462011",50,2003,"Comedy"
"462472",75,2004,"Comedy"
"46266",4,2004,"Comedy"
"46602",0.002,2003,"Comedy"
"46634",0.3,2002,"Comedy"
"466461",85,2002,"Comedy"
"466491",75,2004,"Comedy"
"46746",16,2004,"Comedy"
"47038",10,2003,"Comedy"
"47053",0.175,2003,"Comedy"
"47056",0.5,2002,"Comedy"
"472421",0.4,2003,"Comedy"
"47322",11,2002,"Comedy"
"47335",10,2002,"Comedy"
"47415",10,2004,"Comedy"
"47619",0.013,2004,"Comedy"
"47642",0.006,2003,"Comedy"
"47668",35,2002,"Comedy"
"47894",0.089,2003,"Comedy"
"48034",2,2002,"Comedy"
"480591",74,2005,"Comedy"
"48140",0.2,2004,"Comedy"
"48174",12,2002,"Comedy"
"48217",16,2004,"Comedy"
"48378",0.03,2005,"Comedy"
"48380",80,2004,"Comedy"
"48490",0.02,2004,"Comedy"
"486241",30,2004,"Comedy"
"48685",2.8,2002,"Comedy"
"486921",39,2002,"Comedy"
"486931",39,2003,"Comedy"
"48944",5,2002,"Comedy"
"489721",60,2004,"Comedy"
"49038",25,2002,"Comedy"
"49107",90,2004,"Comedy"
"49615",120,2002,"Comedy"
"49899",0.022,2003,"Comedy"
"50268",0.35,2003,"Comedy"
"50269",38,2002,"Comedy"
"50309",43,2002,"Comedy"
"50319",10,2002,"Comedy"
"504551",0.1,2004,"Comedy"
"50521",0.15,2002,"Comedy"
"509901",10,2004,"Comedy"
"509951",30,2004,"Comedy"
"51241",60,2004,"Comedy"
"51319",0.08,2004,"Comedy"
"51550",0.001,2003,"Comedy"
"51594",1,2003,"Comedy"
"51666",0.001,2004,"Comedy"
"51764",1,2002,"Comedy"
"51852",0.025,2004,"Comedy"
"520451",57,2004,"Comedy"
"52058",7,2002,"Comedy"
"53287",12,2002,"Comedy"
"533251",8,2003,"Comedy"
"536901",60,2002,"Comedy"
"53716",0.025,2002,"Comedy"
"53832",0.0025,2002,"Comedy"
"53862",60,2002,"Comedy"
"54258",18,2003,"Comedy"
"542671",25,2002,"Comedy"
"544921",15,2004,"Comedy"
"54604",13.2,2005,"Comedy"
"54894",6,2002,"Comedy"
"55138",0.015,2004,"Comedy"
"55592",1,2002,"Comedy"
"55629",3,2004,"Comedy"
"56054",0.015,2003,"Comedy"
"563031",0.025,2004,"Comedy"
"56322",15,2005,"Comedy"
"56332",0.022,2003,"Comedy"
"56349",0.00475,2003,"Comedy"
"56405",12,2002,"Comedy"
"56410",26,2004,"Comedy"
"56584",20,2003,"Comedy"
"56776",0.5,2004,"Comedy"
"56798",0.005,2004,"Comedy"
"56946",40,2004,"Comedy"
"56979",0.015,2003,"Comedy"
"571151",35,2002,"Comedy"
"57176",22,2003,"Comedy"
"57196",31,2004,"Comedy"
"57199",24,2004,"Comedy"
"57312",0.035,2005,"Comedy"
"57414",19,2004,"Comedy"
"57624",0.103,2003,"Comedy"
"57703",0.0012,2003,"Comedy"
"57913",0.8,2004,"Comedy"
"58015",0.005,2004,"Comedy"
"58023",1.5,2002,"Comedy"
"581051",0.1,2004,"Comedy"
"58630",8,2004,"Comedy"
"1549",6,2003,"Drama"
"1734",37,2004,"Drama"
"291",12,2004,"Drama"
"297",20,2003,"Drama"
"326",15,2002,"Drama"
"4328",17,2002,"Drama"
"5235",1.6,2004,"Drama"
"534",41,2002,"Drama"
"688",25,2002,"Drama"
"748",0.03,2004,"Drama"
"749",0.0068,2003,"Drama"
"7626",30,2002,"Drama"
"7631",27,2002,"Drama"
"9664",19,2002,"Drama"
"1372",0.5,2004,"Drama"
"15051",95,2004,"Drama"
"1559",150,2004,"Drama"
"157710",60,2004,"Drama"
"1597",1.5,2002,"Drama"
"1789",1,2003,"Drama"
"17922",0.012,2005,"Drama"
"241410",0.017,2003,"Drama"
"2438",0.02,2005,"Drama"
"2499",0.004,2004,"Drama"
"2617",0.05,2003,"Drama"
"2836",12.5,2002,"Drama"
"2859",0.001,2004,"Drama"
"2899",0.09,2002,"Drama"
"3278",0.0055,2004,"Drama"
"329110",0.004999,2005,"Drama"
"33596",20,2005,"Drama"
"33792",0.5,2003,"Drama"
"3422",0.008,2004,"Drama"
"3458",1,2002,"Drama"
"3625",7,2002,"Drama"
"3727",116,2004,"Drama"
"40942",6,2002,"Drama"
"4196",1.5,2005,"Drama"
"43166",10,2002,"Drama"
"43961",12,2002,"Drama"
"4503",50,2003,"Drama"
"46064",1,2003,"Drama"
"4742",1.5,2003,"Drama"
"47462",0.7,2003,"Drama"
"4774",6,2004,"Drama"
"4798",0.03,2004,"Drama"
"48131",14,2005,"Drama"
"48161",0.003,2002,"Drama"
"4885",10,2004,"Drama"
"49543",18,2004,"Drama"
"52566",0.75,2003,"Drama"
"5270",0.25,2002,"Drama"
"5279",0.05,2004,"Drama"
"5358",35,2003,"Drama"
"5404",24,2004,"Drama"
"55355",70,2003,"Drama"
"56574",0.75,2005,"Drama"
"5810",20,2004,"Drama"
"5857",0.002,2003,"Drama"
"6080",0.04,2003,"Drama"
"6188",5.1,2003,"Drama"
"6350",50,2002,"Drama"
"6431",5,2002,"Drama"
"6442",0.015,2004,"Drama"
"6479",0.003,2003,"Drama"
"6484",30,2002,"Drama"
"6542",0.05,2005,"Drama"
"6553",0.007,2003,"Drama"
"67681",20,2003,"Drama"
"6811",0.25,2004,"Drama"
"6831",20,2005,"Drama"
"70791",75,2002,"Drama"
"70801",75,2004,"Drama"
"71041",4,2002,"Drama"
"74371",70,2004,"Drama"
"7492",0.15,2003,"Drama"
"7586",0.07,2004,"Drama"
"7630",10,2003,"Drama"
"76321",8,2002,"Drama"
"7778",0.028,2003,"Drama"
"7866",0.7,2003,"Drama"
"7979",0.2,2002,"Drama"
"8027",13,2004,"Drama"
"8381",0.035,2002,"Drama"
"85221",3,2004,"Drama"
"8649",6,2003,"Drama"
"87071",1,2002,"Drama"
"89531",5,2004,"Drama"
"9033",52,2002,"Drama"
"93471",0.15,2002,"Drama"
"9352",0.032,2004,"Drama"
"9375",45,2002,"Drama"
"9433",5,2004,"Drama"
"9483",0.08,2002,"Drama"
"94881",0.95,2002,"Drama"
"95651",40,2003,"Drama"
"96431",1.5,2002,"Drama"
"96941",45,2002,"Drama"
"9779",10,2002,"Drama"
"9932",3.5,2002,"Drama"
"10043",6.8,2005,"Drama"
"100751",5,2002,"Drama"
"10091",3.3,2002,"Drama"
"10241",60,2002,"Drama"
"10270",0.5,2002,"Drama"
"103901",2.5,2002,"Drama"
"10484",30,2005,"Drama"
"10539",7.5,2003,"Drama"
"10568",0.004,2004,"Drama"
"10602",83,2003,"Drama"
"10625",65,2004,"Drama"
"10876",15,2003,"Drama"
"10966",29,2002,"Drama"
"10984",15,2003,"Drama"
"110111",0.5,2003,"Drama"
"110571",100,2005,"Drama"
"112021",74,2003,"Drama"
"113281",35,2002,"Drama"
"11360",12,2004,"Drama"
"114471",2,2003,"Drama"
"11499",6.5,2004,"Drama"
"11639",1.8,2002,"Drama"
"117651",12,2002,"Drama"
"11808",0.5,2004,"Drama"
"12067",55,2002,"Drama"
"12369",12,2002,"Drama"
"124621",15,2002,"Drama"
"126381",28,2004,"Drama"
"126471",125,2004,"Drama"
"126591",1.5,2004,"Drama"
"12669",0.5,2003,"Drama"
"13036",0.005,2004,"Drama"
"13053",0.05,2004,"Drama"
"131871",0.02,2002,"Drama"
